Comment,Designator,Footprint,LCSC
0603 1k,"R11,R7,R8",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C116692
SOMMER CONEX BOARD,J3,PinSocket_1x03_P2.54mm_Vertical,C146243
STN3NF06,Q1,STN3NF06L,C222218
SOMMER OUTPUT OC,J6,PinSocket_1x04_P2.54mm_Vertical,C2718488
SS54,D5,D_SMA,C2902914
DEALON TD-1183SN,"S1,S2",DEALON TD-1183SN-1.5H-160,C2905192
0603 390,"R5,R6",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C2907159
0603 10k,"R12,R13,R3,R4",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C2930027
ESP32-C3-WROOM-02,U5,ESP32-C3-WROOM-02,C2934560
0603 100ohm,"R1,R10,R2,R9",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C3017758
Serial programmer,J1,PinHeader_1x06_P2.54mm_Vertical,C37208
LED,D1,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C397047
1N4148,D4,D_DO-35_SOD27_P7.62mm_Horizontal,C402212
1206 220uf,"C3,C4",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C412252
G3VM-61D1,"U2,U3",G3VM-61D1,C469131
SOMMER CONEX KEYPAD,J4,PinHeader_1x03_P2.54mm_Vertical,C49257
LED,D2,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C497961
240 pf,"C1,C2",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C501857
LM2596SX-3.3/NOPB ,U4,TO-263-5_TabPin3,C5186052
SS36,D3,SS32C,C5449114
BRIDGE CONEX,J2,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,
FAUL0630-330MT,L1,L_Abracon_ASPI-0630LR,
BRIDGE POWER,J5,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,
