Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,240 pf,
"C3, C4",1206,2,1206 220uf,
"D1, D2",0805,2,LED,
D3,SS32C,1,SS36,
D4,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
D5,D_SMA,1,SS54,
J1,PinHeader_1x06_P2.54mm_Vertical,1,Serial programmer,
J2,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,BRIDGE CONEX,
J3,PinSocket_1x03_P2.54mm_Vertical,1,SOMMER CONEX BOARD,
J4,PinHeader_1x03_P2.54mm_Vertical,1,SOMMER CONEX KEYPAD,
J5,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,BRIDGE POWER,
J6,PinSocket_1x04_P2.54mm_Vertical,1,SOMMER OUTPUT OC,
L1,L_Abracon_ASPI-0630LR,1,FAUL0630-330MT,
Q1,STN3NF06L,1,STN3NF06,
"R1, R10, R2, R9",0603,4,0603 100ohm,
"R11, R7, R8",0603,3,0603 1k,
"R12, R13, R3, R4",0603,4,0603 10k,
"R5, R6",0603,2,0603 390,
"S1, S2",DEALON TD-1183SN-1.5H-160,2,DEALON TD-1183SN,
"U2, U3",G3VM-61D1,2,G3VM-61D1,
U4,TO-263-5_TabPin3,1,LM2596SX-3.3/NOPB ,
U5,ESP32-C3-WROOM-02,1,ESP32-C3-WROOM-02,
