Designator,Mid X,Mid Y,Rotation,Layer
C1,136.1,-59.5,270.0,top
C2,131.0,-59.4625,270.0,top
C3,98.725,-65.0,180.0,top
C4,130.8,-82.71,180.0,top
D1,124.6225,-78.08,0.0,top
D2,124.64,-80.59,0.0,top
D3,103.075,-84.825,90.0,top
D4,99.26,-92.26,180.0,top
D5,91.775,-64.3,270.0,top
J1,120.575,-75.725,180.0,top
J2,136.9,-78.425,270.0,top
J3,131.845,-55.975,270.0,bottom
J4,122.345,-56.0,90.0,top
J5,101.125,-57.4,270.0,top
J6,98.52,-97.525,90.0,bottom
L1,94.125,-56.0,90.0,top
Q1,94.5,-85.4,0.0,top
R1,127.0,-60.4,270.0,top
R10,133.3,-59.5,90.0,top
R11,91.9,-93.1,90.0,top
R12,124.59,-83.34,0.0,top
R13,132.42,-79.25,90.0,top
R2,125.1,-60.4,270.0,top
R3,127.0,-63.9,270.0,top
R4,125.1,-63.9,270.0,top
R5,131.85,-74.425,90.0,top
R6,129.9,-74.45,90.0,top
R7,128.5825,-78.07,180.0,top
R8,128.5925,-80.59,180.0,top
R9,138.4,-59.5,90.0,top
S1,113.4,-62.8,90.0,top
S2,119.4,-62.8,90.0,top
U2,136.9,-66.95,0.0,top
U3,131.7,-66.95,0.0,top
U4,97.8,-74.425,180.0,top
U5,129.5,-91.5,180.0,top
